Name      ,ra      ,dec       ,Type
dw1240-42 ,12:40:02,-42:24:44 ,dSph
dw1241-32 ,12:41:27,-42:53:45 ,dSph
dw1243-42 ,12:43:13,-42:27:48 ,dSph
dw1243-42b,12:43:11,-42:26:37 ,dIrr
dw1251-40 ,12:51:56,-40:19:53 ,dSph
dw1252-40 ,12:52:01,-40:21:55 ,dSph
dw1252-43 ,12:52:25,-43:05:58 ,dSph
dw1257-41 ,12:57:45,-41:22:52 ,dSph
dw1258-37 ,12:58:29,-37:07:21 ,dSph
dw1301-30 ,13:01:28,-30:06:43 ,dSph
dw1302-40 ,13:02:49,-40:08:35 ,dSph
dw1306-29 ,13:06:48,-29:53:30 ,dSph
dw1314-28 ,13:14:02,-28:12:12 ,dIrr/dSph
dw1315-45 ,13:15:56,-45:45:02 ,dIrr
dw1318-21 ,13:18:04,-21:53:06 ,dSph
dw1318-44 ,13:18:58,-44:53:41 ,dSph
dw1321-27 ,13:21:08,-27:44:56 ,dSph
dw1322-27 ,13:22:06,-27:34:45 ,dIrr/dSph
dw1322-39 ,13:22:32,-39:54:20 ,dIrr
dw1323-40 ,13:24:53,-40:45:41 ,dSph
dw1323-40b,13:23:55,-40:50:09 ,dSph
dw1323-40c,13:23:37,-40:43:17 ,dSph
dw1326-37 ,13:26:22,-37:23:08 ,dIrr?
dw1329-45 ,13:29:10,-45:10:31 ,dSph
dw1330-38 ,13:30:41,-38:10:03 ,cirrus?
dw1331-37 ,13:31:32,-37:03:29 ,dSph
dw1331-40 ,13:31:26,-40:15:47 ,cirrus?
dw1336-44 ,13:36:44,-44:26:50 ,dIrr
dw1337-41 ,13:37:55,- 41:54:11,cirrus?
dw1337-44 ,13:37:34,-44:13:07 ,dIrr?
dw1341-43 ,13:41:37,-43:51:17 ,dSph
dw1342-43 ,13:42:44,-43:15:19 ,dIrr?
dw1343-34 ,13:43:49,- 34:56:07,cirrus?
dw1357-28 ,13:57:00,-28:55:15 ,dSph
dw1401-32 ,14:01:25,-32:37:46 ,dSph
dw1403-33 ,14:03:18,-33:24:14 ,dSph
dw1406-29 ,14:06:41,-29:08:10 ,dSph
dw1409-33 ,14:09:03,-33:49:40 ,dSph
dw1410-34 ,14:10:47,-34:52:07 ,dIrr
dw1413-34 ,14:13:08,-34:23:33 ,dSph
dw1415-32 ,14:15:41,-32:34:21 ,dIrr?
